region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,81.46,843,795,956,80.91,82.55,843 [795 - 956],81.46% [80.91% - 82.55%],123,77,215,09-08-2020
2,AL- DOTHAN,80.68,58,57,65,80.53,81.05,58 [57 - 65],80.68% [80.53% - 81.05%],9,7,14,09-08-2020
5,AL- HUNTSVILLE,80.8,105,101,124,80.53,81.54,105 [101 - 124],80.8% [80.53% - 81.54%],15,10,29,09-08-2020
6,AL- MOBILE,80.39,71,68,75,80.25,80.46,71 [68 - 75],80.39% [80.25% - 80.46%],11,7,13,09-08-2020
7,AL- MONTGOMERY,80.84,91,88,100,80.58,81.23,91 [88 - 100],80.84% [80.58% - 81.23%],13,9,19,09-08-2020
9,AL- TUSCALOOSA,81.2,83,78,91,80.6,81.8,83 [78 - 91],81.2% [80.6% - 81.8%],12,6,18,09-08-2020
11,AZ- MESA,80.45,58,56,63,80.3,80.61,58 [56 - 63],80.45% [80.3% - 80.61%],9,6,12,09-08-2020
12,AZ- PHOENIX,80.22,111,108,122,80.17,80.34,111 [108 - 122],80.22% [80.17% - 80.34%],17,13,26,09-08-2020
14,AZ- SUN CITY,80.0,0,0,1,80.0,80.12,0 [0 - 1],80.0% [80.0% - 80.12%],0,0,1,09-08-2020
15,AZ- TUCSON,80.12,19,19,20,80.12,80.12,19 [19 - 20],80.12% [80.12% - 80.12%],3,3,3,09-08-2020
16,AR- FORT SMITH,80.31,28,28,30,80.23,80.47,28 [28 - 30],80.31% [80.23% - 80.47%],4,3,6,09-08-2020
18,AR- JONESBORO,80.77,49,47,55,80.55,81.22,49 [47 - 55],80.77% [80.55% - 81.22%],7,5,11,09-08-2020
