region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,85.83,314,284,425,82.23,97.93,314 [284 - 425],85.83% [82.23% - 97.93%],492,188,1514,10-20-2020
2,AL- DOTHAN,81.66,14,12,16,80.0,83.61,14 [12 - 16],81.66% [80.0% - 83.61%],22,0,48,10-20-2020
5,AL- HUNTSVILLE,88.72,108,98,138,83.67,102.02,108 [98 - 138],88.72% [83.67% - 102.02%],164,69,414,10-20-2020
6,AL- MOBILE,82.28,42,38,55,80.81,86.44,42 [38 - 55],82.28% [80.81% - 86.44%],65,23,184,10-20-2020
7,AL- MONTGOMERY,87.44,77,68,112,82.39,108.14,77 [68 - 112],87.44% [82.39% - 108.14%],115,37,435,10-20-2020
9,AL- TUSCALOOSA,83.81,17,14,29,80.2,93.83,17 [14 - 29],83.81% [80.2% - 93.83%],38,2,138,10-20-2020
11,AZ- MESA,100.61,308,281,395,89.14,131.72,308 [281 - 395],100.61% [89.14% - 131.72%],408,181,1024,10-20-2020
12,AZ- PHOENIX,92.92,723,657,941,85.27,115.38,723 [657 - 941],92.92% [85.27% - 115.38%],979,399,2680,10-20-2020
14,AZ- SUN CITY,89.14,56,51,72,84.07,103.21,56 [51 - 72],89.14% [84.07% - 103.21%],74,33,188,10-20-2020
15,AZ- TUCSON,85.35,98,90,141,82.34,98.03,98 [90 - 141],85.35% [82.34% - 98.03%],135,59,455,10-20-2020
16,AR- FORT SMITH,84.53,35,31,46,81.87,92.02,35 [31 - 46],84.53% [81.87% - 92.02%],58,24,154,10-20-2020
18,AR- JONESBORO,88.96,53,46,70,82.32,106.22,53 [46 - 70],88.96% [82.32% - 106.22%],81,21,237,10-20-2020
19,AR- LITTLE ROCK,83.59,142,129,178,81.52,88.96,142 [129 - 178],83.59% [81.52% - 88.96%],207,88,517,10-20-2020
21,AR- SPRINGDALE,85.77,41,37,50,82.46,93.34,41 [37 - 50],85.77% [82.46% - 93.34%],61,26,141,10-20-2020
22,AR- TEXARKANA,87.45,54,48,70,83.16,101.84,54 [48 - 70],87.45% [83.16% - 101.84%],73,31,214,10-20-2020
23,CA- ORANGE CO.,81.18,59,53,69,80.48,82.44,59 [53 - 69],81.18% [80.48% - 82.44%],90,37,187,10-20-2020
25,CA- BAKERSFIELD,80.88,20,17,24,80.44,81.77,20 [17 - 24],80.88% [80.44% - 81.77%],32,16,64,10-20-2020
31,CA- CHICO,81.09,7,6,7,80.0,81.72,7 [6 - 7],81.09% [80.0% - 81.72%],7,0,11,10-20-2020
33,CA- CONTRA COSTA CO.,81.15,14,12,17,80.55,82.45,14 [12 - 17],81.15% [80.55% - 82.45%],23,11,49,10-20-2020
43,CA- FRESNO,81.36,16,15,20,80.66,82.89,16 [15 - 20],81.36% [80.66% - 82.89%],31,15,66,10-20-2020
56,CA- LOS ANGELES,82.49,417,381,483,81.14,84.79,417 [381 - 483],82.49% [81.14% - 84.79%],618,282,1188,10-20-2020
58,CA- MODESTO,87.21,82,73,130,82.27,111.94,82 [73 - 130],87.21% [82.27% - 111.94%],124,39,549,10-20-2020
62,CA- NAPA,80.52,0,0,1,80.0,81.03,0 [0 - 1],80.52% [80.0% - 81.03%],3,0,6,10-20-2020
65,CA- ALAMEDA CO.,80.41,8,7,9,80.21,80.8,8 [7 - 9],80.41% [80.21% - 80.8%],14,7,27,10-20-2020
69,CA- PALM SPR/RANCHO MIR.,81.23,7,6,9,80.57,82.37,7 [6 - 9],81.23% [80.57% - 82.37%],13,6,25,10-20-2020
73,CA- REDDING,86.56,52,46,65,82.4,94.97,52 [46 - 65],86.56% [82.4% - 94.97%],71,26,162,10-20-2020
77,CA- SACRAMENTO,81.17,41,37,51,80.48,83.2,41 [37 - 51],81.17% [80.48% - 83.2%],56,23,153,10-20-2020
78,CA- SALINAS,82.02,7,7,9,80.88,84.04,7 [7 - 9],82.02% [80.88% - 84.04%],16,7,32,10-20-2020
