HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations,Lower Hospitalization Bound,Upper Hospitalization Bound,Last Update
1,AL- BIRMINGHAM,80,379,373,385,04-08-2020
2,AL- DOTHAN,80,5,5,5,04-08-2020
5,AL- HUNTSVILLE,80,58,57,59,04-08-2020
6,AL- MOBILE,81,206,203,209,04-08-2020
7,AL- MONTGOMERY,80,42,42,42,04-08-2020
9,AL- TUSCALOOSA,80,28,28,28,04-08-2020
11,AZ- MESA,86,790,776,804,04-08-2020
12,AZ- PHOENIX,83,1907,1872,1942,04-08-2020
14,AZ- SUN CITY,82,131,129,133,04-08-2020
15,AZ- TUCSON,82,389,382,396,04-08-2020
16,AR- FORT SMITH,80,0,0,0,04-08-2020
18,AR- JONESBORO,80,1,1,1,04-08-2020
19,AR- LITTLE ROCK,82,927,911,943,04-08-2020
21,AR- SPRINGDALE,81,68,67,69,04-08-2020
22,AR- TEXARKANA,80,0,0,0,04-08-2020
23,CA- ORANGE CO.,82,1311,1287,1335,04-08-2020
25,CA- BAKERSFIELD,80,209,206,212,04-08-2020
31,CA- CHICO,81,46,46,46,04-08-2020
33,CA- CONTRA COSTA CO.,87,949,932,966,04-08-2020
43,CA- FRESNO,81,201,198,204,04-08-2020
56,CA- LOS ANGELES,82,3895,3824,3966,04-08-2020
58,CA- MODESTO,83,419,412,426,04-08-2020
62,CA- NAPA,83,132,130,134,04-08-2020
65,CA- ALAMEDA CO.,86,1456,1430,1482,04-08-2020
69,CA- PALM SPR/RANCHO MIR.,81,117,115,119,04-08-2020
73,CA- REDDING,80,31,31,31,04-08-2020
77,CA- SACRAMENTO,84,1408,1383,1433,04-08-2020
78,CA- SALINAS,84,233,229,237,04-08-2020
79,CA- SAN BERNARDINO,83,1134,1114,1154,04-08-2020
80,CA- SAN DIEGO,83,1621,1592,1650,04-08-2020
81,CA- SAN FRANCISCO,83,1273,1251,1295,04-08-2020
82,CA- SAN JOSE,88,1695,1665,1725,04-08-2020
83,CA- SAN LUIS OBISPO,83,111,109,113,04-08-2020
85,CA- SAN MATEO CO.,84,812,798,826,04-08-2020
86,CA- SANTA BARBARA,82,162,159,165,04-08-2020
87,CA- SANTA CRUZ,88,214,211,217,04-08-2020
89,CA- SANTA ROSA,82,329,323,335,04-08-2020
91,CA- STOCKTON,85,392,385,399,04-08-2020
96,CA- VENTURA,83,334,328,340,04-08-2020
101,CO- BOULDER,89,302,297,307,04-08-2020
102,CO- COLORADO SPRINGS,87,531,522,540,04-08-2020
103,CO- DENVER,89,2888,2837,2939,04-08-2020
104,CO- FORT COLLINS,85,234,230,238,04-08-2020
105,CO- GRAND JUNCTION,89,495,487,503,04-08-2020
106,CO- GREELEY,85,296,291,301,04-08-2020
107,CO- PUEBLO,81,48,48,48,04-08-2020
110,CT- HARTFORD,88,1814,1781,1847,04-08-2020
111,CT- NEW HAVEN,91,3099,3044,3154,04-08-2020
112,DE- WILMINGTON,87,943,926,960,04-08-2020
113,DC- WASHINGTON,86,2403,2359,2447,04-08-2020
115,FL- BRADENTON,82,131,129,133,04-08-2020
116,FL- CLEARWATER,81,208,205,211,04-08-2020
118,FL- FORT LAUDERDALE,83,2063,2026,2100,04-08-2020
119,FL- FORT MYERS,82,643,632,654,04-08-2020
120,FL- GAINESVILLE,81,205,202,208,04-08-2020
122,FL- HUDSON,81,165,162,168,04-08-2020
123,FL- JACKSONVILLE,81,511,502,520,04-08-2020
124,FL- LAKELAND,82,164,161,167,04-08-2020
127,FL- MIAMI,83,2539,2493,2585,04-08-2020
129,FL- OCALA,82,196,193,199,04-08-2020
130,FL- ORLANDO,82,1540,1512,1568,04-08-2020
131,FL- ORMOND BEACH,81,153,151,155,04-08-2020
133,FL- PANAMA CITY,80,21,21,21,04-08-2020
134,FL- PENSACOLA,81,168,165,171,04-08-2020
137,FL- SARASOTA,81,172,169,175,04-08-2020
139,FL- ST PETERSBURG,81,169,166,172,04-08-2020
140,FL- TALLAHASSEE,80,152,149,155,04-08-2020
141,FL- TAMPA,82,625,614,636,04-08-2020
142,GA- ALBANY,84,277,272,282,04-08-2020
144,GA- ATLANTA,85,4429,4349,4509,04-08-2020
145,GA- AUGUSTA,81,260,255,265,04-08-2020
146,GA- COLUMBUS,81,111,109,113,04-08-2020
