hrr,HRRCITY,DHS_Beds,Total_Pop,Over65_Pop
166,IL- MELROSE PARK,3094,1442605,196250
170,IL- PEORIA,1859,590803,97456
171,IL- ROCKFORD,1531,696321,108602
172,IL- SPRINGFIELD,2545,797739,127583
173,IL- URBANA,1039,443799,61021
175,IL- BLOOMINGTON,267,211481,25824
179,IN- EVANSVILLE,2045,676228,101964
180,IN- FORT WAYNE,2212,880267,126290
181,IN- GARY,1506,499983,76746
183,IN- INDIANAPOLIS,6417,3034281,408378
184,IN- LAFAYETTE,741,260387,30209
185,IN- MUNCIE,419,159258,25001
186,IN- MUNSTER,1154,297644,43072
187,IN- SOUTH BEND,1529,709692,106423
188,IN- TERRE HAUTE,539,177012,26444
190,IA- CEDAR RAPIDS,1116,315186,47186
191,IA- DAVENPORT,2223,497376,83695
192,IA- DES MOINES,3293,1175500,158550
193,IA- DUBUQUE,545,159229,25824
194,IA- IOWA CITY,1943,362692,49396
195,IA- MASON CITY,733,122911,21610
196,IA- SIOUX CITY,1132,263097,39575
197,IA- WATERLOO,639,214041,33074
200,KS- TOPEKA,1547,453964,69946
201,KS- WICHITA,4950,1255086,179322
203,KY- COVINGTON,1101,428758,59927
204,KY- LEXINGTON,5206,1531191,223956
205,KY- LOUISVILLE,4816,1828574,269417
207,KY- OWENSBORO,472,149348,23886
208,KY- PADUCAH,1622,365530,59968
209,LA- ALEXANDRIA,991,278354,40270
210,LA- BATON ROUGE,2480,999310,127066
212,LA- HOUMA,701,272544,37647
213,LA- LAFAYETTE,2162,639072,84556
214,LA- LAKE CHARLES,865,294541,41167
216,LA- METAIRIE,1011,465850,69494
217,LA- MONROE,925,269892,37160
218,LA- NEW ORLEANS,2425,734413,102734
219,LA- SHREVEPORT,2736,685539,100774
220,LA- SLIDELL,504,182394,29782
221,ME- BANGOR,1090,368259,70186
222,ME- PORTLAND,2625,1060732,183784
223,MD- BALTIMORE,6745,2592981,375282
225,MD- SALISBURY,937,459706,96444
226,MD- TAKOMA PARK,1287,990499,120501
227,MA- BOSTON,10984,5216089,783848
230,MA- SPRINGFIELD,1601,751506,121460
231,MA- WORCESTER,1642,820608,119988
232,MI- ANN ARBOR,3264,1454928,212256
233,MI- DEARBORN,1644,508819,75845
234,MI- DETROIT,4659,1647234,247326
235,MI- FLINT,1326,517378,83663
236,MI- GRAND RAPIDS,2309,1285234,176369
238,MI- KALAMAZOO,1477,659901,102975
239,MI- LANSING,1535,713250,100350
240,MI- MARQUETTE,488,186461,32476
242,MI- MUSKEGON,536,267005,40410
243,MI- PETOSKEY,346,160117,25753
244,MI- PONTIAC,1184,480689,72736
245,MI- ROYAL OAK,2642,801007,120517
246,MI- SAGINAW,2096,584582,105734
248,MI- ST JOSEPH,302,140705,25361
249,MI- TRAVERSE CITY,509,224807,40532
250,MN- DULUTH,1162,332547,53367
251,MN- MINNEAPOLIS,8515,3493526,469106
253,MN- ROCHESTER,2599,418794,63908
254,MN- ST CLOUD,707,266835,36454
256,MN- ST PAUL,2285,1144806,154848
257,MS- GULFPORT,773,220164,27111
258,MS- HATTIESBURG,1210,309996,43513
259,MS- JACKSON,4481,1059475,146449
260,MS- MERIDIAN,978,185158,28228
261,MS- OXFORD,638,153524,22504
262,MS- TUPELO,1630,403021,58405
263,MO- CAPE GIRARDEAU,1027,250069,38510
264,MO- COLUMBIA,1844,713615,106653
267,MO- JOPLIN,954,367792,58288
268,MO- KANSAS CITY,7925,2618361,357911
270,MO- SPRINGFIELD,1959,870767,149000
273,MO- ST LOUIS,12201,3445758,527356
274,MT- BILLINGS,2209,625169,94505
