region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,80.92,255,246,262,80.81,81.02,255 [246 - 262],80.92% [80.81% - 81.02%],78,68,86,09-22-2020
2,AL- DOTHAN,81.2,51,50,52,80.98,81.2,51 [50 - 52],81.2% [80.98% - 81.2%],16,13,16,09-22-2020
5,AL- HUNTSVILLE,81.12,70,70,71,81.01,81.22,70 [70 - 71],81.12% [81.01% - 81.22%],21,19,23,09-22-2020
6,AL- MOBILE,80.32,22,21,24,80.25,80.32,22 [21 - 24],80.32% [80.25% - 80.32%],9,7,9,09-22-2020
7,AL- MONTGOMERY,80.65,34,34,35,80.52,80.78,34 [34 - 35],80.65% [80.52% - 80.78%],10,8,12,09-22-2020
9,AL- TUSCALOOSA,81.4,44,43,46,81.1,81.7,44 [43 - 46],81.4% [81.1% - 81.7%],14,11,17,09-22-2020
11,AZ- MESA,80.81,50,49,52,80.66,80.96,50 [49 - 52],80.81% [80.66% - 80.96%],16,13,19,09-22-2020
12,AZ- PHOENIX,80.57,135,129,143,80.41,80.71,135 [129 - 143],80.57% [80.41% - 80.71%],43,31,54,09-22-2020
14,AZ- SUN CITY,80.25,7,7,7,80.25,80.37,7 [7 - 7],80.25% [80.25% - 80.37%],2,2,3,09-22-2020
15,AZ- TUCSON,81.43,123,119,132,81.03,82.1,123 [119 - 132],81.43% [81.03% - 82.1%],36,26,53,09-22-2020
16,AR- FORT SMITH,81.25,53,52,55,80.94,81.48,53 [52 - 55],81.25% [80.94% - 81.48%],16,12,19,09-22-2020
18,AR- JONESBORO,81.99,60,58,62,81.33,82.1,60 [58 - 62],81.99% [81.33% - 82.1%],18,12,19,09-22-2020
19,AR- LITTLE ROCK,81.11,221,207,231,80.61,81.33,221 [207 - 231],81.11% [80.61% - 81.33%],64,35,77,09-22-2020
21,AR- SPRINGDALE,84.73,172,162,178,82.93,85.49,172 [162 - 178],84.73% [82.93% - 85.49%],50,31,58,09-22-2020
22,AR- TEXARKANA,80.92,26,25,28,80.41,81.02,26 [25 - 28],80.92% [80.41% - 81.02%],9,4,10,09-22-2020
23,CA- ORANGE CO.,80.31,76,74,78,80.25,80.35,76 [74 - 78],80.31% [80.25% - 80.35%],24,19,27,09-22-2020
25,CA- BAKERSFIELD,80.39,41,40,43,80.36,80.41,41 [40 - 43],80.39% [80.36% - 80.41%],14,13,15,09-22-2020
31,CA- CHICO,80.78,14,14,15,80.47,80.94,14 [14 - 15],80.78% [80.47% - 80.94%],5,3,6,09-22-2020
33,CA- CONTRA COSTA CO.,80.5,30,30,31,80.45,80.5,30 [30 - 31],80.5% [80.45% - 80.5%],10,9,10,09-22-2020
43,CA- FRESNO,80.61,43,42,45,80.53,80.74,43 [42 - 45],80.61% [80.53% - 80.74%],14,12,17,09-22-2020
56,CA- LOS ANGELES,80.4,315,312,319,80.37,80.43,315 [312 - 319],80.4% [80.37% - 80.43%],100,92,106,09-22-2020
58,CA- MODESTO,80.52,23,23,24,80.41,80.64,23 [23 - 24],80.52% [80.41% - 80.64%],9,7,11,09-22-2020
62,CA- NAPA,80.52,7,7,8,80.52,80.86,7 [7 - 8],80.52% [80.52% - 80.86%],3,3,5,09-22-2020
65,CA- ALAMEDA CO.,80.27,24,24,25,80.21,80.33,24 [24 - 25],80.27% [80.21% - 80.33%],9,7,11,09-22-2020
69,CA- PALM SPR/RANCHO MIR.,80.19,7,7,7,80.19,80.28,7 [7 - 7],80.19% [80.19% - 80.28%],2,2,3,09-22-2020
73,CA- REDDING,80.28,7,7,8,80.28,80.28,7 [7 - 8],80.28% [80.28% - 80.28%],3,3,3,09-22-2020
77,CA- SACRAMENTO,80.59,88,88,91,80.56,80.67,88 [88 - 91],80.59% [80.56% - 80.67%],28,27,32,09-22-2020
78,CA- SALINAS,81.13,28,28,29,81.01,81.26,28 [28 - 29],81.13% [81.01% - 81.26%],9,8,10,09-22-2020
79,CA- SAN BERNARDINO,80.5,89,88,91,80.47,80.55,89 [88 - 91],80.5% [80.47% - 80.55%],29,27,32,09-22-2020
80,CA- SAN DIEGO,81.01,243,238,247,80.85,81.09,243 [238 - 247],81.01% [80.85% - 81.09%],71,60,77,09-22-2020
81,CA- SAN FRANCISCO,80.28,44,44,45,80.26,80.28,44 [44 - 45],80.28% [80.26% - 80.28%],14,13,14,09-22-2020
82,CA- SAN JOSE,80.5,46,46,48,80.5,80.59,46 [46 - 48],80.5% [80.5% - 80.59%],15,15,18,09-22-2020
83,CA- SAN LUIS OBISPO,80.22,0,0,0,80.22,80.22,0 [0 - 0],80.22% [80.22% - 80.22%],1,1,1,09-22-2020
85,CA- SAN MATEO CO.,80.41,34,34,35,80.41,80.45,34 [34 - 35],80.41% [80.41% - 80.45%],11,11,12,09-22-2020
86,CA- SANTA BARBARA,80.52,8,8,9,80.31,80.52,8 [8 - 9],80.52% [80.31% - 80.52%],5,3,5,09-22-2020
87,CA- SANTA CRUZ,80.84,7,7,8,80.84,81.11,7 [7 - 8],80.84% [80.84% - 81.11%],3,3,4,09-22-2020
89,CA- SANTA ROSA,80.32,14,14,15,80.27,80.38,14 [14 - 15],80.32% [80.27% - 80.38%],6,5,7,09-22-2020
91,CA- STOCKTON,80.94,30,30,31,80.85,80.94,30 [30 - 31],80.94% [80.85% - 80.94%],10,9,10,09-22-2020
96,CA- VENTURA,80.7,34,34,35,80.7,80.7,34 [34 - 35],80.7% [80.7% - 80.7%],11,11,11,09-22-2020
101,CO- BOULDER,90.95,164,155,182,86.95,98.11,164 [155 - 182],90.95% [86.95% - 98.11%],52,33,86,09-22-2020
102,CO- COLORADO SPRINGS,80.87,27,26,32,80.39,81.84,27 [26 - 32],80.87% [80.39% - 81.84%],9,4,19,09-22-2020
103,CO- DENVER,81.24,203,198,225,81.03,81.86,203 [198 - 225],81.24% [81.03% - 81.86%],59,49,89,09-22-2020
104,CO- FORT COLLINS,82.82,56,54,59,82.03,83.6,56 [54 - 59],82.82% [82.03% - 83.6%],18,13,23,09-22-2020
105,CO- GRAND JUNCTION,80.51,12,12,13,80.25,80.51,12 [12 - 13],80.51% [80.25% - 80.51%],4,2,4,09-22-2020
106,CO- GREELEY,84.12,105,98,123,82.32,87.34,105 [98 - 123],84.12% [82.32% - 87.34%],32,18,57,09-22-2020
107,CO- PUEBLO,80.25,7,7,7,80.25,80.25,7 [7 - 7],80.25% [80.25% - 80.25%],2,2,2,09-22-2020
109,CT- BRIDGEPORT,81.18,70,70,71,81.12,81.18,70 [70 - 71],81.18% [81.12% - 81.18%],20,19,20,09-22-2020
110,CT- HARTFORD,81.57,162,161,166,81.5,81.66,162 [161 - 166],81.57% [81.5% - 81.66%],51,49,54,09-22-2020
111,CT- NEW HAVEN,80.75,93,90,100,80.6,81.04,93 [90 - 100],80.75% [80.6% - 81.04%],29,23,40,09-22-2020
112,DE- WILMINGTON,81.77,108,107,112,81.5,81.99,108 [107 - 112],81.77% [81.5% - 81.99%],33,28,37,09-22-2020
113,DC- WASHINGTON,81.29,240,236,247,81.15,81.49,240 [236 - 247],81.29% [81.15% - 81.49%],71,63,82,09-22-2020
115,FL- BRADENTON,80.42,7,7,7,80.28,80.42,7 [7 - 7],80.42% [80.28% - 80.42%],3,2,3,09-22-2020
116,FL- CLEARWATER,80.24,9,9,10,80.18,80.31,9 [9 - 10],80.24% [80.18% - 80.31%],4,3,5,09-22-2020
118,FL- FORT LAUDERDALE,80.24,61,61,63,80.22,80.26,61 [61 - 63],80.24% [80.22% - 80.26%],21,19,23,09-22-2020
119,FL- FORT MYERS,80.18,21,20,21,80.18,80.18,21 [20 - 21],80.18% [80.18% - 80.18%],7,7,7,09-22-2020
120,FL- GAINESVILLE,81.41,91,86,97,80.87,81.96,91 [86 - 97],81.41% [80.87% - 81.96%],26,16,36,09-22-2020
122,FL- HUDSON,80.16,7,7,7,80.16,80.16,7 [7 - 7],80.16% [80.16% - 80.16%],2,2,2,09-22-2020
123,FL- JACKSONVILLE,80.61,95,92,98,80.49,80.67,95 [92 - 98],80.61% [80.49% - 80.67%],30,24,33,09-22-2020
124,FL- LAKELAND,80.56,17,17,18,80.47,80.56,17 [17 - 18],80.56% [80.47% - 80.56%],6,5,6,09-22-2020
127,FL- MIAMI,80.19,60,56,62,80.1,80.21,60 [56 - 62],80.19% [80.1% - 80.21%],21,11,23,09-22-2020
129,FL- OCALA,80.44,18,18,19,80.29,80.44,18 [18 - 19],80.44% [80.29% - 80.44%],6,4,6,09-22-2020
130,FL- ORLANDO,80.36,117,116,121,80.32,80.41,117 [116 - 121],80.36% [80.32% - 80.41%],37,33,42,09-22-2020
131,FL- ORMOND BEACH,80.36,21,21,22,80.36,80.42,21 [21 - 22],80.36% [80.36% - 80.42%],6,6,7,09-22-2020
133,FL- PANAMA CITY,80.15,0,0,0,80.15,80.15,0 [0 - 0],80.15% [80.15% - 80.15%],1,1,1,09-22-2020
134,FL- PENSACOLA,80.47,32,32,33,80.34,80.51,32 [32 - 33],80.47% [80.34% - 80.51%],11,8,12,09-22-2020
137,FL- SARASOTA,80.21,7,7,8,80.14,80.28,7 [7 - 8],80.21% [80.14% - 80.28%],3,2,4,09-22-2020
139,FL- ST PETERSBURG,80.19,7,7,8,80.19,80.25,7 [7 - 8],80.19% [80.19% - 80.25%],3,3,4,09-22-2020
140,FL- TALLAHASSEE,81.56,130,121,143,80.89,82.08,130 [121 - 143],81.56% [80.89% - 82.08%],42,24,56,09-22-2020
141,FL- TAMPA,80.38,52,52,53,80.35,80.4,52 [52 - 53],80.38% [80.35% - 80.4%],16,15,17,09-22-2020
142,GA- ALBANY,80.0,0,0,0,80.0,80.09,0 [0 - 0],80.0% [80.0% - 80.09%],0,0,1,09-22-2020
144,GA- ATLANTA,81.07,400,390,416,80.89,81.28,400 [390 - 416],81.07% [80.89% - 81.28%],128,107,153,09-22-2020
145,GA- AUGUSTA,80.45,35,34,38,80.45,80.69,35 [34 - 38],80.45% [80.45% - 80.69%],11,11,17,09-22-2020
146,GA- COLUMBUS,80.16,7,7,9,80.16,80.48,7 [7 - 9],80.16% [80.16% - 80.48%],2,2,6,09-22-2020
147,GA- MACON,80.54,31,30,35,80.31,80.72,31 [30 - 35],80.54% [80.31% - 80.72%],12,7,16,09-22-2020
148,GA- ROME,81.5,35,35,38,81.5,82.19,35 [35 - 38],81.5% [81.5% - 82.19%],11,11,16,09-22-2020
149,GA- SAVANNAH,81.46,100,95,104,80.97,81.8,100 [95 - 104],81.46% [80.97% - 81.8%],30,20,37,09-22-2020
