region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
428,VA- LYNCHBURG,84.92,118,107,136,82.26,89.71,118 [107 - 136],84.92% [82.26% - 89.71%],37,17,73,01-26-2021,projected
429,VA- NEWPORT NEWS,88.69,320,296,368,84.48,96.68,320 [296 - 368],88.69% [84.48% - 96.68%],99,51,190,01-26-2021,projected
430,VA- NORFOLK,83.77,325,297,369,81.81,86.91,325 [297 - 369],83.77% [81.81% - 86.91%],102,49,187,01-26-2021,projected
431,VA- RICHMOND,84.13,627,578,717,82.06,87.77,627 [578 - 717],84.13% [82.06% - 87.77%],194,97,365,01-26-2021,projected
432,VA- ROANOKE,80.97,84,76,95,80.43,81.65,84 [76 - 95],80.97% [80.43% - 81.65%],27,12,46,01-26-2021,projected
435,VA- WINCHESTER,84.39,127,115,145,81.82,88.36,127 [115 - 145],84.39% [81.82% - 88.36%],41,17,78,01-26-2021,projected
437,WA- EVERETT,80.61,19,18,23,80.37,81.34,19 [18 - 23],80.61% [80.37% - 81.34%],5,3,11,01-26-2021,projected
438,WA- OLYMPIA,81.04,21,20,25,80.59,82.07,21 [20 - 25],81.04% [80.59% - 82.07%],7,4,14,01-26-2021,projected
439,WA- SEATTLE,80.77,139,129,158,80.42,81.4,139 [129 - 158],80.77% [80.42% - 81.4%],42,23,76,01-26-2021,projected
440,WA- SPOKANE,80.69,81,75,91,80.37,81.2,81 [75 - 91],80.69% [80.37% - 81.2%],26,14,45,01-26-2021,projected
441,WA- TACOMA,81.71,70,65,80,80.98,83.26,70 [65 - 80],81.71% [80.98% - 83.26%],21,12,40,01-26-2021,projected
442,WA- YAKIMA,81.55,28,26,32,80.86,82.76,28 [26 - 32],81.55% [80.86% - 82.76%],9,5,16,01-26-2021,projected
443,WV- CHARLESTON,80.91,69,62,79,80.37,81.57,69 [62 - 79],80.91% [80.37% - 81.57%],22,9,38,01-26-2021,projected
444,WV- HUNTINGTON,80.73,42,37,45,80.3,81.15,42 [37 - 45],80.73% [80.3% - 81.15%],12,5,19,01-26-2021,projected
445,WV- MORGANTOWN,80.57,26,22,30,80.17,80.91,26 [22 - 30],80.57% [80.17% - 80.91%],10,3,16,01-26-2021,projected
446,WI- APPLETON,81.62,35,32,39,80.97,82.92,35 [32 - 39],81.62% [80.97% - 82.92%],10,6,18,01-26-2021,projected
447,WI- GREEN BAY,80.69,37,33,40,80.31,81.12,37 [33 - 40],80.69% [80.31% - 81.12%],11,5,18,01-26-2021,projected
448,WI- LA CROSSE,81.47,44,39,51,80.63,82.51,44 [39 - 51],81.47% [80.63% - 82.51%],14,6,24,01-26-2021,projected
449,WI- MADISON,80.96,89,82,98,80.5,81.5,89 [82 - 98],80.96% [80.5% - 81.5%],29,15,45,01-26-2021,projected
450,WI- MARSHFIELD,81.61,60,56,71,80.76,83.4,60 [56 - 71],81.61% [80.76% - 83.4%],19,9,40,01-26-2021,projected
451,WI- MILWAUKEE,81.45,393,367,449,80.86,82.73,393 [367 - 449],81.45% [80.86% - 82.73%],120,71,225,01-26-2021,projected
452,WI- NEENAH,81.25,21,19,25,80.9,82.51,21 [19 - 25],81.25% [80.9% - 82.51%],7,5,14,01-26-2021,projected
456,WI- WAUSAU,81.06,17,15,19,80.35,81.77,17 [15 - 19],81.06% [80.35% - 81.77%],6,2,10,01-26-2021,projected
457,WY- CASPER,80.57,14,13,15,80.14,81.0,14 [13 - 15],80.57% [80.14% - 81.0%],4,1,7,01-26-2021,projected
303,NY- NEW YORK,81.11,482,448,516,80.66,81.55,482 [448 - 516],81.11% [80.66% - 81.55%],172,102,241,01-26-2021,projected
