region,region_name,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update,Type
186,IN- MUNSTER,80.52,42,41,43,80.43,80.52,42 [41 - 43],80.52% [80.43% - 80.52%],6,5,6,04-14-2021,projected
187,IN- SOUTH BEND,81.31,135,132,140,81.11,81.5,135 [132 - 140],81.31% [81.11% - 81.5%],20,17,23,04-14-2021,projected
188,IN- TERRE HAUTE,80.19,7,7,7,80.19,80.19,7 [7 - 7],80.19% [80.19% - 80.19%],1,1,1,04-14-2021,projected
190,IA- CEDAR RAPIDS,80.36,26,25,27,80.27,80.36,26 [25 - 27],80.36% [80.27% - 80.36%],4,3,4,04-14-2021,projected
191,IA- DAVENPORT,80.54,78,76,87,80.45,80.94,78 [76 - 87],80.54% [80.45% - 80.94%],12,10,21,04-14-2021,projected
192,IA- DES MOINES,80.36,78,74,85,80.24,80.43,78 [74 - 85],80.36% [80.24% - 80.43%],12,8,14,04-14-2021,projected
193,IA- DUBUQUE,80.73,28,26,31,80.37,80.92,28 [26 - 31],80.73% [80.37% - 80.92%],4,2,5,04-14-2021,projected
194,IA- IOWA CITY,80.21,25,24,30,80.15,80.36,25 [24 - 30],80.21% [80.15% - 80.36%],4,3,7,04-14-2021,projected
195,IA- MASON CITY,80.14,7,7,9,80.14,80.14,7 [7 - 9],80.14% [80.14% - 80.14%],1,1,1,04-14-2021,projected
196,IA- SIOUX CITY,80.27,19,16,22,80.09,80.35,19 [16 - 22],80.27% [80.09% - 80.35%],3,1,4,04-14-2021,projected
197,IA- WATERLOO,80.31,11,10,12,80.16,80.31,11 [10 - 12],80.31% [80.16% - 80.31%],2,1,2,04-14-2021,projected
200,KS- TOPEKA,80.26,28,27,30,80.26,80.26,28 [27 - 30],80.26% [80.26% - 80.26%],4,4,4,04-14-2021,projected
201,KS- WICHITA,80.16,51,49,85,80.12,80.73,51 [49 - 85],80.16% [80.12% - 80.73%],8,6,36,04-14-2021,projected
203,KY- COVINGTON,81.0,59,55,64,80.64,81.0,59 [55 - 64],81.0% [80.64% - 81.0%],11,7,11,04-14-2021,projected
204,KY- LEXINGTON,80.88,303,288,317,80.6,81.15,303 [288 - 317],80.88% [80.6% - 81.15%],46,31,60,04-14-2021,projected
205,KY- LOUISVILLE,80.71,211,206,224,80.6,80.71,211 [206 - 224],80.71% [80.6% - 80.71%],34,29,34,04-14-2021,projected
207,KY- OWENSBORO,80.42,14,14,14,80.42,80.42,14 [14 - 14],80.42% [80.42% - 80.42%],2,2,2,04-14-2021,projected
208,KY- PADUCAH,80.55,63,61,71,80.55,80.74,63 [61 - 71],80.55% [80.55% - 80.74%],9,9,12,04-14-2021,projected
209,LA- ALEXANDRIA,80.1,7,7,10,80.1,80.2,7 [7 - 10],80.1% [80.1% - 80.2%],1,1,2,04-14-2021,projected
210,LA- BATON ROUGE,80.52,90,87,95,80.4,80.56,90 [87 - 95],80.52% [80.4% - 80.56%],13,10,14,04-14-2021,projected
212,LA- HOUMA,80.43,21,19,22,80.29,80.43,21 [19 - 22],80.43% [80.29% - 80.43%],3,2,3,04-14-2021,projected
213,LA- LAFAYETTE,80.37,56,55,58,80.37,80.42,56 [55 - 58],80.37% [80.37% - 80.42%],8,8,9,04-14-2021,projected
214,LA- LAKE CHARLES,80.69,42,41,43,80.69,80.69,42 [41 - 43],80.69% [80.69% - 80.69%],6,6,6,04-14-2021,projected
216,LA- METAIRIE,80.2,14,14,16,80.2,80.3,14 [14 - 16],80.2% [80.2% - 80.3%],2,2,3,04-14-2021,projected
217,LA- MONROE,80.11,7,7,7,80.11,80.11,7 [7 - 7],80.11% [80.11% - 80.11%],1,1,1,04-14-2021,projected
218,LA- NEW ORLEANS,80.16,28,27,29,80.12,80.21,28 [27 - 29],80.16% [80.12% - 80.21%],4,3,5,04-14-2021,projected
219,LA- SHREVEPORT,80.29,54,51,58,80.18,80.37,54 [51 - 58],80.29% [80.18% - 80.37%],8,5,10,04-14-2021,projected
220,LA- SLIDELL,80.0,0,0,1,80.0,80.2,0 [0 - 1],80.0% [80.0% - 80.2%],0,0,1,04-14-2021,projected
221,ME- BANGOR,80.28,16,15,17,80.18,80.28,16 [15 - 17],80.28% [80.18% - 80.28%],3,2,3,04-14-2021,projected
222,ME- PORTLAND,80.61,100,97,102,80.5,80.69,100 [97 - 102],80.61% [80.5% - 80.69%],16,13,18,04-14-2021,projected
223,MD- BALTIMORE,81.81,817,800,836,81.56,82.09,817 [800 - 836],81.81% [81.56% - 82.09%],122,105,141,04-14-2021,projected
225,MD- SALISBURY,80.64,42,42,44,80.64,80.85,42 [42 - 44],80.64% [80.64% - 80.85%],6,6,8,04-14-2021,projected
226,MD- TAKOMA PARK,81.71,150,147,153,81.48,81.86,150 [147 - 153],81.71% [81.48% - 81.86%],22,19,24,04-14-2021,projected
227,MA- BOSTON,80.72,546,533,560,80.64,80.77,546 [533 - 560],80.72% [80.64% - 80.77%],79,70,85,04-14-2021,projected
230,MA- SPRINGFIELD,80.75,83,81,86,80.69,80.81,83 [81 - 86],80.75% [80.69% - 80.81%],12,11,13,04-14-2021,projected
231,MA- WORCESTER,80.61,70,69,72,80.55,80.67,70 [69 - 72],80.61% [80.55% - 80.67%],10,9,11,04-14-2021,projected
232,MI- ANN ARBOR,83.22,694,670,716,82.48,83.89,694 [670 - 716],83.22% [82.48% - 83.89%],105,81,127,04-14-2021,projected
233,MI- DEARBORN,82.86,307,297,317,82.25,83.47,307 [297 - 317],82.86% [82.25% - 83.47%],47,37,57,04-14-2021,projected
