HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
1,AL- BIRMINGHAM,84.6,370,316,580,81.22,87.98,05-05-2020
2,AL- DOTHAN,80.67,3,2,19,77.44,83.9,05-05-2020
5,AL- HUNTSVILLE,83.62,60,51,96,80.28,86.96,05-05-2020
6,AL- MOBILE,83.81,102,88,164,80.46,87.16,05-05-2020
7,AL- MONTGOMERY,83.08,45,39,77,79.76,86.4,05-05-2020
9,AL- TUSCALOOSA,83.55,31,27,54,80.21,86.89,05-05-2020
11,AZ- MESA,88.84,165,142,254,85.29,92.39,05-05-2020
12,AZ- PHOENIX,85.38,389,336,599,81.96,88.8,05-05-2020
14,AZ- SUN CITY,83.69,25,22,40,80.34,87.04,05-05-2020
15,AZ- TUCSON,83.2,75,64,120,79.87,86.53,05-05-2020
16,AR- FORT SMITH,80.29,0,0,7,77.08,83.5,05-05-2020
18,AR- JONESBORO,80.46,0,0,6,77.24,83.68,05-05-2020
19,AR- LITTLE ROCK,83.57,195,169,301,80.23,86.91,05-05-2020
21,AR- SPRINGDALE,81.59,14,12,27,78.33,84.85,05-05-2020
22,AR- TEXARKANA,80.46,0,0,8,77.24,83.68,05-05-2020
23,CA- ORANGE CO.,88.16,600,519,913,84.63,91.69,05-05-2020
25,CA- BAKERSFIELD,82.79,93,79,151,79.48,86.1,05-05-2020
31,CA- CHICO,84.56,24,21,41,81.18,87.94,05-05-2020
33,CA- CONTRA COSTA CO.,104.28,471,411,643,100.11,108.45,05-05-2020
43,CA- FRESNO,84.94,104,90,168,81.54,88.34,05-05-2020
56,CA- LOS ANGELES,87.4,1771,1532,2685,83.9,90.9,05-05-2020
58,CA- MODESTO,93.41,218,188,325,89.67,97.15,05-05-2020
62,CA- NAPA,93.23,72,62,105,89.5,96.96,05-05-2020
65,CA- ALAMEDA CO.,101.85,719,627,972,97.78,105.92,05-05-2020
69,CA- PALM SPR/RANCHO MIR.,85.42,51,44,80,82.0,88.84,05-05-2020
73,CA- REDDING,86.03,60,52,89,82.59,89.47,05-05-2020
77,CA- SACRAMENTO,95.13,697,604,1022,91.32,98.94,05-05-2020
78,CA- SALINAS,95.69,117,102,171,91.86,99.52,05-05-2020
79,CA- SAN BERNARDINO,89.24,510,440,789,85.67,92.81,05-05-2020
80,CA- SAN DIEGO,91.29,766,664,1150,87.64,94.94,05-05-2020
81,CA- SAN FRANCISCO,92.83,634,553,857,89.12,96.54,05-05-2020
82,CA- SAN JOSE,108.1,833,729,1108,103.78,112.42,05-05-2020
83,CA- SAN LUIS OBISPO,91.79,49,42,74,88.12,95.46,05-05-2020
85,CA- SAN MATEO CO.,95.17,399,349,533,91.36,98.98,05-05-2020
86,CA- SANTA BARBARA,87.93,70,60,109,84.41,91.45,05-05-2020
87,CA- SANTA CRUZ,111.8,108,94,150,107.33,116.27,05-05-2020
89,CA- SANTA ROSA,89.95,177,154,250,86.35,93.55,05-05-2020
91,CA- STOCKTON,99.13,193,167,278,95.16,103.1,05-05-2020
96,CA- VENTURA,89.99,149,129,228,86.39,93.59,05-05-2020
101,CO- BOULDER,96.43,72,63,106,92.57,100.29,05-05-2020
102,CO- COLORADO SPRINGS,92.88,126,109,197,89.16,96.6,05-05-2020
103,CO- DENVER,95.57,722,628,1041,91.75,99.39,05-05-2020
104,CO- FORT COLLINS,89.38,54,47,81,85.8,92.96,05-05-2020
105,CO- GRAND JUNCTION,93.76,104,91,139,90.01,97.51,05-05-2020
106,CO- GREELEY,89.99,72,62,109,86.39,93.59,05-05-2020
107,CO- PUEBLO,82.15,14,12,24,78.86,85.44,05-05-2020
110,CT- HARTFORD,109.0,906,784,1326,104.64,113.36,05-05-2020
111,CT- NEW HAVEN,118.06,1434,1252,1911,113.34,122.78,05-05-2020
112,DE- WILMINGTON,89.69,171,149,261,86.1,93.28,05-05-2020
113,DC- WASHINGTON,98.99,1003,867,1530,95.03,102.95,05-05-2020
115,FL- BRADENTON,87.35,46,40,72,83.86,90.84,05-05-2020
116,FL- CLEARWATER,84.53,68,59,106,81.15,87.91,05-05-2020
118,FL- FORT LAUDERDALE,87.29,611,529,913,83.8,90.78,05-05-2020
119,FL- FORT MYERS,85.96,215,186,330,82.52,89.4,05-05-2020
120,FL- GAINESVILLE,84.29,73,63,115,80.92,87.66,05-05-2020
122,FL- HUDSON,84.64,52,45,83,81.25,88.03,05-05-2020
123,FL- JACKSONVILLE,84.08,189,162,309,80.72,87.44,05-05-2020
124,FL- LAKELAND,85.15,50,43,79,81.74,88.56,05-05-2020
127,FL- MIAMI,87.28,758,656,1123,83.79,90.77,05-05-2020
129,FL- OCALA,84.78,59,50,94,81.39,88.17,05-05-2020
130,FL- ORLANDO,84.81,477,411,745,81.42,88.2,05-05-2020
131,FL- ORMOND BEACH,83.27,49,42,77,79.94,86.6,05-05-2020
133,FL- PANAMA CITY,81.31,7,6,13,78.06,84.56,05-05-2020
134,FL- PENSACOLA,83.24,70,60,113,79.91,86.57,05-05-2020
137,FL- SARASOTA,84.62,60,52,94,81.24,88.0,05-05-2020
139,FL- ST PETERSBURG,83.77,54,47,85,80.42,87.12,05-05-2020
140,FL- TALLAHASSEE,84.12,99,83,164,80.76,87.48,05-05-2020
141,FL- TAMPA,85.11,205,177,319,81.71,88.51,05-05-2020
142,GA- ALBANY,93.06,133,116,181,89.34,96.78,05-05-2020
144,GA- ATLANTA,98.6,2149,1851,3215,94.66,102.54,05-05-2020
145,GA- AUGUSTA,82.83,63,54,112,79.52,86.14,05-05-2020
146,GA- COLUMBUS,85.21,61,53,102,81.8,88.62,05-05-2020
147,GA- MACON,85.06,106,89,175,81.66,88.46,05-05-2020
148,GA- ROME,95.72,108,93,158,91.89,99.55,05-05-2020
149,GA- SAVANNAH,84.32,81,69,136,80.95,87.69,05-05-2020
154,IL- AURORA,97.39,85,74,125,93.49,101.29,05-05-2020
155,IL- BLUE ISLAND,88.65,211,183,305,85.1,92.2,05-05-2020
156,IL- CHICAGO,88.56,710,617,1023,85.02,92.1,05-05-2020
158,IL- ELGIN,99.61,203,176,296,95.63,103.59,05-05-2020
161,IL- EVANSTON,92.1,281,244,406,88.42,95.78,05-05-2020
163,IL- HINSDALE,92.66,132,115,192,88.95,96.37,05-05-2020
164,IL- JOLIET,94.42,182,158,266,90.64,98.2,05-05-2020
166,IL- MELROSE PARK,92.46,373,324,539,88.76,96.16,05-05-2020
170,IL- PEORIA,82.53,43,37,72,79.23,85.83,05-05-2020
171,IL- ROCKFORD,88.35,120,103,184,84.82,91.88,05-05-2020
172,IL- SPRINGFIELD,81.23,25,21,55,77.98,84.48,05-05-2020
173,IL- URBANA,82.38,21,18,36,79.08,85.68,05-05-2020
175,IL- BLOOMINGTON,87.43,17,15,28,83.93,90.93,05-05-2020
179,IN- EVANSVILLE,81.11,16,13,38,77.87,84.35,05-05-2020
180,IN- FORT WAYNE,81.24,24,20,56,77.99,84.49,05-05-2020
181,IN- GARY,86.86,96,83,146,83.39,90.33,05-05-2020
183,IN- INDIANAPOLIS,85.07,313,269,492,81.67,88.47,05-05-2020
184,IN- LAFAYETTE,82.2,12,10,24,78.91,85.49,05-05-2020
185,IN- MUNCIE,82.45,7,6,14,79.15,85.75,05-05-2020
186,IN- MUNSTER,86.37,68,59,101,82.92,89.82,05-05-2020
187,IN- SOUTH BEND,83.81,52,44,84,80.46,87.16,05-05-2020
188,IN- TERRE HAUTE,80.83,0,0,5,77.6,84.06,05-05-2020
191,IA- DAVENPORT,81.5,29,24,48,78.24,84.76,05-05-2020
192,IA- DES MOINES,82.52,77,65,136,79.22,85.82,05-05-2020
193,IA- DUBUQUE,83.74,17,14,27,80.39,87.09,05-05-2020
194,IA- IOWA CITY,83.04,54,46,84,79.72,86.36,05-05-2020
195,IA- MASON CITY,80.26,0,0,6,77.05,83.47,05-05-2020
196,IA- SIOUX CITY,80.92,7,6,23,77.68,84.16,05-05-2020
197,IA- WATERLOO,81.99,8,6,18,78.71,85.27,05-05-2020
200,KS- TOPEKA,82.31,30,24,69,79.02,85.6,05-05-2020
201,KS- WICHITA,81.4,65,56,125,78.14,84.66,05-05-2020
203,KY- COVINGTON,88.17,82,66,138,84.64,91.7,05-05-2020
204,KY- LEXINGTON,86.59,329,281,575,83.13,90.05,05-05-2020
205,KY- LOUISVILLE,87.28,328,276,564,83.79,90.77,05-05-2020
207,KY- OWENSBORO,83.93,16,12,32,80.57,87.29,05-05-2020
208,KY- PADUCAH,80.53,2,0,29,77.31,83.75,05-05-2020
209,LA- ALEXANDRIA,81.75,14,12,27,78.48,85.02,05-05-2020
210,LA- BATON ROUGE,90.41,245,211,362,86.79,94.03,05-05-2020
