HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Total Hospitalizations (Range),Total Projected Demand (Range),Max Occupied Beds,Lower Max Occupied Beds,Upper Max Occupied Beds,Last Update
1,AL- BIRMINGHAM,81.18,98,86,131,80.12,83.74,98 [86 - 131],81.18% [80.12% - 83.74%],99,10,316,06-30-2020
2,AL- DOTHAN,80.85,7,6,13,80.0,84.07,7 [6 - 13],80.85% [80.0% - 84.07%],11,0,54,06-30-2020
5,AL- HUNTSVILLE,81.55,25,22,35,80.16,84.89,25 [22 - 35],81.55% [80.16% - 84.89%],29,3,92,06-30-2020
6,AL- MOBILE,81.36,35,32,50,80.28,84.76,35 [32 - 50],81.36% [80.28% - 84.76%],38,8,136,06-30-2020
7,AL- MONTGOMERY,81.14,14,13,22,80.13,84.59,14 [13 - 22],81.14% [80.13% - 84.59%],17,2,71,06-30-2020
9,AL- TUSCALOOSA,80.83,7,7,11,80.2,83.91,7 [7 - 11],80.83% [80.2% - 83.91%],8,2,39,06-30-2020
11,AZ- MESA,84.45,84,75,106,80.81,91.46,84 [75 - 106],84.45% [80.81% - 91.46%],88,16,227,06-30-2020
12,AZ- PHOENIX,82.83,211,186,264,80.45,87.51,211 [186 - 264],82.83% [80.45% - 87.51%],214,34,569,06-30-2020
14,AZ- SUN CITY,81.88,14,13,17,80.25,84.81,14 [13 - 17],81.88% [80.25% - 84.81%],15,2,39,06-30-2020
15,AZ- TUCSON,82.65,63,55,84,80.24,88.12,63 [55 - 84],82.65% [80.24% - 88.12%],66,6,205,06-30-2020
16,AR- FORT SMITH,80.68,7,6,13,80.0,83.98,7 [6 - 13],80.68% [80.0% - 83.98%],8,0,51,06-30-2020
18,AR- JONESBORO,80.93,7,6,10,80.0,83.54,7 [6 - 10],80.93% [80.0% - 83.54%],8,0,32,06-30-2020
19,AR- LITTLE ROCK,80.86,49,43,67,80.02,82.91,49 [43 - 67],80.86% [80.02% - 82.91%],49,1,168,06-30-2020
21,AR- SPRINGDALE,82.1,21,19,29,80.28,87.47,21 [19 - 29],82.1% [80.28% - 87.47%],22,3,79,06-30-2020
22,AR- TEXARKANA,80.69,0,0,4,80.0,83.37,0 [0 - 4],80.69% [80.0% - 83.37%],6,0,33,06-30-2020
23,CA- ORANGE CO.,81.67,125,110,165,80.25,85.02,125 [110 - 165],81.67% [80.25% - 85.02%],127,19,384,06-30-2020
25,CA- BAKERSFIELD,81.18,40,35,59,80.11,84.67,40 [35 - 59],81.18% [80.11% - 84.67%],42,4,169,06-30-2020
31,CA- CHICO,81.89,7,6,12,80.0,86.88,7 [6 - 12],81.89% [80.0% - 86.88%],12,0,44,06-30-2020
33,CA- CONTRA COSTA CO.,81.82,33,29,40,80.3,83.99,33 [29 - 40],81.82% [80.3% - 83.99%],36,6,80,06-30-2020
43,CA- FRESNO,81.98,42,37,63,80.13,88.1,42 [37 - 63],81.98% [80.13% - 88.1%],45,3,185,06-30-2020
56,CA- LOS ANGELES,81.48,363,318,478,80.21,84.48,363 [318 - 478],81.48% [80.21% - 84.48%],366,53,1112,06-30-2020
58,CA- MODESTO,82.02,28,25,38,80.29,85.58,28 [25 - 38],82.02% [80.29% - 85.58%],34,5,96,06-30-2020
62,CA- NAPA,81.58,7,7,9,80.0,84.47,7 [7 - 9],81.58% [80.0% - 84.47%],9,0,26,06-30-2020
65,CA- ALAMEDA CO.,81.57,49,44,59,80.27,83.43,49 [44 - 59],81.57% [80.27% - 83.43%],53,9,116,06-30-2020
69,CA- PALM SPR/RANCHO MIR.,81.24,7,7,12,80.09,83.8,7 [7 - 12],81.24% [80.09% - 83.8%],13,1,40,06-30-2020
73,CA- REDDING,80.91,7,6,11,80.0,83.6,7 [6 - 11],80.91% [80.0% - 83.6%],9,0,39,06-30-2020
77,CA- SACRAMENTO,81.95,88,78,111,80.29,84.97,88 [78 - 111],81.95% [80.29% - 84.97%],93,14,238,06-30-2020
78,CA- SALINAS,81.93,13,12,16,80.13,84.67,13 [12 - 16],81.93% [80.13% - 84.67%],15,1,37,06-30-2020
79,CA- SAN BERNARDINO,82.14,120,105,159,80.29,86.59,120 [105 - 159],82.14% [80.29% - 86.59%],123,17,381,06-30-2020
80,CA- SAN DIEGO,82.05,140,123,182,80.27,85.86,140 [123 - 182],82.05% [80.27% - 85.86%],143,19,412,06-30-2020
81,CA- SAN FRANCISCO,80.93,43,38,52,80.18,82.01,43 [38 - 52],80.93% [80.18% - 82.01%],46,9,102,06-30-2020
82,CA- SAN JOSE,81.88,53,47,64,80.33,84.16,53 [47 - 64],81.88% [80.33% - 84.16%],57,10,126,06-30-2020
83,CA- SAN LUIS OBISPO,82.22,7,7,10,80.22,86.14,7 [7 - 10],82.22% [80.22% - 86.14%],10,1,28,06-30-2020
85,CA- SAN MATEO CO.,81.03,22,19,28,80.15,82.23,22 [19 - 28],81.03% [80.15% - 82.23%],27,4,60,06-30-2020
86,CA- SANTA BARBARA,81.77,14,13,20,80.1,85.49,14 [13 - 20],81.77% [80.1% - 85.49%],17,1,53,06-30-2020
87,CA- SANTA CRUZ,82.69,7,7,9,80.28,86.13,7 [7 - 9],82.69% [80.28% - 86.13%],9,1,22,06-30-2020
89,CA- SANTA ROSA,80.88,14,13,17,80.16,81.99,14 [13 - 17],80.88% [80.16% - 81.99%],16,3,37,06-30-2020
91,CA- STOCKTON,82.12,21,19,26,80.19,84.99,21 [19 - 26],82.12% [80.19% - 84.99%],22,2,53,06-30-2020
96,CA- VENTURA,82.05,28,25,38,80.19,86.23,28 [25 - 38],82.05% [80.19% - 86.23%],32,3,98,06-30-2020
101,CO- BOULDER,83.45,14,13,18,80.84,88.42,14 [13 - 18],83.45% [80.84% - 88.42%],16,4,40,06-30-2020
102,CO- COLORADO SPRINGS,83.64,35,32,47,80.77,91.4,35 [32 - 47],83.64% [80.77% - 91.4%],37,8,118,06-30-2020
