HRRNum,Hospital Referral Region,Projected Demand (%),Hospitalizations (Median),Lower Hospitalization Bound,Upper Hospitalization Bound,Lower Projected Demand Bound,Upper Projected Demand Bound,Last Update
163,IL- HINSDALE,103.39,250,215,333,99.25,107.53,05-05-2020
164,IL- JOLIET,107.56,356,306,480,103.26,111.86,05-05-2020
166,IL- MELROSE PARK,102.73,690,593,916,98.62,106.84,05-05-2020
170,IL- PEORIA,87.75,133,112,252,84.24,91.26,05-05-2020
171,IL- ROCKFORD,99.95,296,252,435,95.95,103.95,05-05-2020
172,IL- SPRINGFIELD,85.56,132,110,284,82.14,88.98,05-05-2020
173,IL- URBANA,88.24,79,66,161,84.71,91.77,05-05-2020
175,IL- BLOOMINGTON,100.47,51,43,92,96.45,104.49,05-05-2020
179,IN- EVANSVILLE,84.31,78,64,213,80.94,87.68,05-05-2020
180,IN- FORT WAYNE,87.16,147,124,335,83.67,90.65,05-05-2020
181,IN- GARY,95.35,222,189,320,91.54,99.16,05-05-2020
183,IN- INDIANAPOLIS,92.71,791,673,1377,89.0,96.42,05-05-2020
184,IN- LAFAYETTE,87.32,48,41,100,83.83,90.81,05-05-2020
185,IN- MUNCIE,88.66,32,27,66,85.11,92.21,05-05-2020
186,IN- MUNSTER,92.85,142,122,196,89.14,96.56,05-05-2020
187,IN- SOUTH BEND,90.7,154,130,292,87.07,94.33,05-05-2020
188,IN- TERRE HAUTE,85.87,28,23,59,82.44,89.3,05-05-2020
191,IA- DAVENPORT,84.67,95,80,194,81.28,88.06,05-05-2020
192,IA- DES MOINES,88.26,260,221,493,84.73,91.79,05-05-2020
193,IA- DUBUQUE,89.41,47,40,77,85.83,92.99,05-05-2020
194,IA- IOWA CITY,86.3,117,100,176,82.85,89.75,05-05-2020
195,IA- MASON CITY,82.64,13,10,38,79.33,85.95,05-05-2020
196,IA- SIOUX CITY,86.0,63,53,120,82.56,89.44,05-05-2020
197,IA- WATERLOO,87.88,46,39,91,84.36,91.4,05-05-2020
200,KS- TOPEKA,91.58,166,137,371,87.92,95.24,05-05-2020
201,KS- WICHITA,85.34,252,214,706,81.93,88.75,05-05-2020
203,KY- COVINGTON,104.97,262,222,532,100.77,109.17,05-05-2020
204,KY- LEXINGTON,99.85,985,827,1826,95.86,103.84,05-05-2020
205,KY- LOUISVILLE,102.77,1052,889,2051,98.66,106.88,05-05-2020
207,KY- OWENSBORO,94.52,63,53,146,90.74,98.3,05-05-2020
208,KY- PADUCAH,87.27,109,90,282,83.78,90.76,05-05-2020
209,LA- ALEXANDRIA,86.63,60,51,117,83.16,90.1,05-05-2020
210,LA- BATON ROUGE,100.94,507,435,683,96.9,104.98,05-05-2020
212,LA- HOUMA,100.59,140,121,182,96.57,104.61,05-05-2020
213,LA- LAFAYETTE,88.78,181,153,311,85.23,92.33,05-05-2020
214,LA- LAKE CHARLES,86.28,50,42,107,82.83,89.73,05-05-2020
216,LA- METAIRIE,108.75,281,245,315,104.4,113.1,05-05-2020
217,LA- MONROE,84.75,39,33,90,81.36,88.14,05-05-2020
218,LA- NEW ORLEANS,96.72,385,335,421,92.85,100.59,05-05-2020
219,LA- SHREVEPORT,86.88,179,151,314,83.4,90.36,05-05-2020
221,ME- BANGOR,83.1,30,25,59,79.78,86.42,05-05-2020
222,ME- PORTLAND,87.63,194,167,268,84.12,91.14,05-05-2020
223,MD- BALTIMORE,119.66,2602,2219,4046,114.87,124.45,05-05-2020
225,MD- SALISBURY,109.3,260,220,440,104.93,113.67,05-05-2020
226,MD- TAKOMA PARK,164.51,1060,906,1607,157.93,171.09,05-05-2020
227,MA- BOSTON,114.22,3709,3194,4778,109.65,118.79,05-05-2020
230,MA- SPRINGFIELD,111.8,495,424,690,107.33,116.27,05-05-2020
231,MA- WORCESTER,117.46,603,518,786,112.76,122.16,05-05-2020
232,MI- ANN ARBOR,101.63,691,594,930,97.56,105.7,05-05-2020
233,MI- DEARBORN,96.14,259,223,335,92.29,99.99,05-05-2020
234,MI- DETROIT,99.22,881,759,1145,95.25,103.19,05-05-2020
235,MI- FLINT,98.86,243,208,345,94.91,102.81,05-05-2020
238,MI- KALAMAZOO,88.87,124,105,257,85.32,92.42,05-05-2020
239,MI- LANSING,94.36,210,178,354,90.59,98.13,05-05-2020
240,MI- MARQUETTE,83.23,14,12,40,79.9,86.56,05-05-2020
242,MI- MUSKEGON,88.82,44,37,95,85.27,92.37,05-05-2020
243,MI- PETOSKEY,88.4,22,18,53,84.86,91.94,05-05-2020
244,MI- PONTIAC,99.76,228,197,297,95.77,103.75,05-05-2020
245,MI- ROYAL OAK,94.84,385,332,500,91.05,98.63,05-05-2020
246,MI- SAGINAW,87.51,150,128,277,84.01,91.01,05-05-2020
248,MI- ST JOSEPH,91.7,32,27,61,88.03,95.37,05-05-2020
249,MI- TRAVERSE CITY,89.45,42,36,85,85.87,93.03,05-05-2020
250,MN- DULUTH,83.51,35,29,89,80.17,86.85,05-05-2020
251,MN- MINNEAPOLIS,92.81,1057,897,1760,89.1,96.52,05-05-2020
253,MN- ROCHESTER,86.22,156,134,241,82.77,89.67,05-05-2020
254,MN- ST CLOUD,90.53,69,58,127,86.91,94.15,05-05-2020
256,MN- ST PAUL,96.48,362,308,592,92.62,100.34,05-05-2020
257,MS- GULFPORT,105.82,192,165,273,101.59,110.05,05-05-2020
258,MS- HATTIESBURG,100.0,232,196,355,96.0,104.0,05-05-2020
259,MS- JACKSON,96.85,730,619,1153,92.98,100.72,05-05-2020
261,MS- OXFORD,95.65,95,80,157,91.82,99.48,05-05-2020
262,MS- TUPELO,92.95,201,170,368,89.23,96.67,05-05-2020
263,MO- CAPE GIRARDEAU,81.75,12,9,48,78.48,85.02,05-05-2020
264,MO- COLUMBIA,86.78,118,99,251,83.31,90.25,05-05-2020
267,MO- JOPLIN,86.01,49,41,136,82.57,89.45,05-05-2020
268,MO- KANSAS CITY,92.59,968,823,1779,88.89,96.29,05-05-2020
270,MO- SPRINGFIELD,86.97,127,107,283,83.49,90.45,05-05-2020
273,MO- ST LOUIS,85.83,687,583,1354,82.4,89.26,05-05-2020
274,MT- BILLINGS,83.56,73,62,120,80.22,86.9,05-05-2020
275,MT- GREAT FALLS,80.97,7,6,17,77.73,84.21,05-05-2020
276,MT- MISSOULA,84.03,42,35,73,80.67,87.39,05-05-2020
277,NE- LINCOLN,95.06,267,229,370,91.26,98.86,05-05-2020
278,NE- OMAHA,93.13,712,618,841,89.4,96.86,05-05-2020
279,NV- LAS VEGAS,106.35,1053,903,1454,102.1,110.6,05-05-2020
280,NV- RENO,96.4,304,259,454,92.54,100.26,05-05-2020
281,NH- LEBANON,92.97,121,103,166,89.25,96.69,05-05-2020
282,NH- MANCHESTER,88.94,170,146,223,85.38,92.5,05-05-2020
283,NJ- CAMDEN,100.71,1640,1421,2015,96.68,104.74,05-05-2020
284,NJ- HACKENSACK,104.42,844,735,898,100.24,108.6,05-05-2020
285,NJ- MORRISTOWN,117.17,686,597,745,112.48,121.86,05-05-2020
288,NJ- NEW BRUNSWICK,105.91,692,602,760,101.67,110.15,05-05-2020
289,NJ- NEWARK,101.39,982,855,1057,97.33,105.45,05-05-2020
291,NJ- PATERSON,102.57,249,217,267,98.47,106.67,05-05-2020
293,NM- ALBUQUERQUE,102.14,721,614,1178,98.05,106.23,05-05-2020
295,NY- ALBANY,118.98,1918,1668,2212,114.22,123.74,05-05-2020
296,NY- BINGHAMTON,107.14,244,208,356,102.85,111.43,05-05-2020
297,NY- BRONX,119.82,1298,1131,1362,115.03,124.61,05-05-2020
299,NY- BUFFALO,102.21,773,660,1236,98.12,106.3,05-05-2020
300,NY- ELMIRA,99.27,197,168,309,95.3,103.24,05-05-2020
301,NY- EAST LONG ISLAND,124.93,4420,3847,4634,119.93,129.93,05-05-2020
304,NY- ROCHESTER,109.38,845,720,1271,105.0,113.76,05-05-2020
307,NY- SYRACUSE,100.99,572,486,930,96.95,105.03,05-05-2020
308,NY- WHITE PLAINS,116.82,998,870,1053,112.15,121.49,05-05-2020
309,NC- ASHEVILLE,85.21,89,74,207,81.8,88.62,05-05-2020
311,NC- CHARLOTTE,93.29,744,632,1292,89.56,97.02,05-05-2020
312,NC- DURHAM,88.85,392,331,729,85.3,92.4,05-05-2020
313,NC- GREENSBORO,89.1,154,130,288,85.54,92.66,05-05-2020
314,NC- GREENVILLE,85.46,128,107,287,82.04,88.88,05-05-2020
315,NC- HICKORY,88.43,59,50,119,84.89,91.97,05-05-2020
318,NC- RALEIGH,95.05,616,525,1055,91.25,98.85,05-05-2020
319,NC- WILMINGTON,87.76,87,73,183,84.25,91.27,05-05-2020
320,NC- WINSTON-SALEM,87.5,263,222,513,84.0,91.0,05-05-2020
321,ND- BISMARCK,87.23,56,48,93,83.74,90.72,05-05-2020
322,ND- FARGO MOORHEAD -MN,82.88,53,45,143,79.56,86.2,05-05-2020
323,ND- GRAND FORKS,82.24,7,6,29,78.95,85.53,05-05-2020
324,ND- MINOT,84.4,28,24,51,81.02,87.78,05-05-2020
325,OH- AKRON,101.35,501,428,812,97.3,105.4,05-05-2020
326,OH- CANTON,99.49,395,335,696,95.51,103.47,05-05-2020
327,OH- CINCINNATI,94.96,687,583,1409,91.16,98.76,05-05-2020
328,OH- CLEVELAND,97.97,1544,1316,2432,94.05,101.89,05-05-2020
329,OH- COLUMBUS,92.22,1047,882,2302,88.53,95.91,05-05-2020
330,OH- DAYTON,91.64,364,308,805,87.97,95.31,05-05-2020
331,OH- ELYRIA,107.39,191,163,298,103.09,111.69,05-05-2020
332,OH- KETTERING,94.39,157,133,332,90.61,98.17,05-05-2020
334,OH- TOLEDO,93.2,533,452,953,89.47,96.93,05-05-2020
335,OH- YOUNGSTOWN,92.86,320,273,573,89.15,96.57,05-05-2020
336,OK- LAWTON,87.51,50,42,134,84.01,91.01,05-05-2020
339,OK- OKLAHOMA CITY,94.99,952,808,1907,91.19,98.79,05-05-2020
340,OK- TULSA,89.99,480,406,1087,86.39,93.59,05-05-2020
341,OR- BEND,91.56,42,36,64,87.9,95.22,05-05-2020
342,OR- EUGENE,90.37,115,98,184,86.76,93.98,05-05-2020
343,OR- MEDFORD,86.76,60,51,109,83.29,90.23,05-05-2020
344,OR- PORTLAND,93.66,695,593,1029,89.91,97.41,05-05-2020
345,OR- SALEM,96.89,68,58,99,93.01,100.77,05-05-2020
346,PA- ALLENTOWN,101.52,667,575,853,97.46,105.58,05-05-2020
347,PA- ALTOONA,85.39,32,26,79,81.97,88.81,05-05-2020
350,PA- DANVILLE,87.37,104,87,215,83.88,90.86,05-05-2020
351,PA- ERIE,86.01,127,107,270,82.57,89.45,05-05-2020
352,PA- HARRISBURG,93.24,291,247,512,89.51,96.97,05-05-2020
354,PA- JOHNSTOWN,83.41,21,18,54,80.07,86.75,05-05-2020
355,PA- LANCASTER,99.57,224,191,360,95.59,103.55,05-05-2020
356,PA- PHILADELPHIA,97.66,2159,1854,2914,93.75,101.57,05-05-2020
357,PA- PITTSBURGH,85.37,603,511,1206,81.96,88.78,05-05-2020
358,PA- READING,97.39,237,203,354,93.49,101.29,05-05-2020
359,PA- SAYRE,96.38,70,59,121,92.52,100.24,05-05-2020
360,PA- SCRANTON,96.95,142,121,196,93.07,100.83,05-05-2020
362,PA- WILKES-BARRE,94.89,92,78,141,91.09,98.69,05-05-2020
363,PA- YORK,96.95,133,113,226,93.07,100.83,05-05-2020
365,SC- CHARLESTON,89.95,283,240,526,86.35,93.55,05-05-2020
366,SC- COLUMBIA,93.12,478,408,713,89.4,96.84,05-05-2020
